,sticker,name
1,ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha
2,CNG,Công ty Cổ phần CNG Việt Nam
3,PGC,Tổng Công ty Gas Petrolimex - Công ty Cổ phần
4,PLX,Tập đoàn Xăng dầu Việt Nam
5,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí
6,PVT,Tổng Công ty Cổ phần Vận tải Dầu khí
