,sticker,name
1,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa
2,BWE,Công ty Cổ phần Nước – Môi trường Bình Dương
3,GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần
4,GEG,Công ty Cổ phần Điện Gia Lai
5,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2
6,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
7,PPC,Công ty Cổ phần Nhiệt điện Phả Lại
8,SJD,Công ty Cổ phần Thủy điện Cần Đơn
9,TDM,Công ty Cổ phần Nước Thủ Dầu Một
10,UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO
