,sticker,name
99,QCG,Công ty Cổ phần Quốc Cường Gia Lai
100,RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông
101,SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex
102,SBV,Công ty Cổ phần Siam Brothers Việt Nam
103,SCD,Công ty Cổ phần Nước giải khát Chương Dương
104,SFG,Công ty Cổ phần Phân bón Miền Nam
105,SFI,Công ty Cổ phần Đại lý Vận tải SAFI
106,SHI,Công ty Cổ phần Quốc tế Sơn Hà
107,SJD,Công ty Cổ phần Thủy điện Cần Đơn
108,SJF,Công ty Cổ phần Đầu tư Sao Thái Dương
109,SKG,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang
110,SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung
111,SRC,Công ty Cổ phần Cao su Sao Vàng
112,STK,Công ty Cổ phần Sợi Thế Kỷ
113,SVC,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn
114,SVI,Công ty Cổ phần Bao bì Biên Hòa
115,SZC,Công ty Cổ phần Sonadezi Châu Đức
116,SZL,Công ty Cổ phần Sonadezi Long Thành
117,TAC,Công ty Cổ phần Dầu thực vật Tường An
118,TCL,Công ty Cổ phần Đai lý Giao nhận Vận tải Xếp dỡ Tân Cảng
119,TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công
120,TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh
121,TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương
122,TDG,Công ty Cổ phần Dầu khí Thái Dương
123,TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức
124,TEG,Công ty Cổ phần Năng lượng và Bất động sản Trường Thành
125,TGG,Công ty Cổ phần Xây dựng và Đầu tư Trường Giang
126,THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang
127,TIP,Công ty Cổ phần Phát triển Khu Công nghiệp Tín Nghĩa
128,TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
129,TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên
130,TN1,Công ty Cổ phần Thương mại Dịch vụ TNS Holdings
131,TNA,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam
132,TNI,Công ty Cổ phần Tập đoàn Thành Nam
133,TNT,Công ty Cổ phần Tài Nguyên
134,TRC,Công ty Cổ phần Cao su Tây Ninh
135,TS4,Công ty Cổ phần Thủy sản số 4
136,TSC,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ
137,TTB,Công ty Cổ phần Tập đoàn Tiến Bộ
138,TVB,Công ty Cổ phần Chứng khoán Trí Việt
139,TVT,Tổng Công ty Việt Thắng - CTCP
140,TYA,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam
141,UDC,Công ty Cổ phần Xây dựng và Phát triển Đô thị tỉnh Bà Rịa - Vũng Tàu
142,UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO
143,VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO
144,VNE,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam
145,VNS,Công ty Cổ phần Ánh Dương Việt Nam
146,VOS,Công ty Cổ phần Vận tải Biển Việt Nam
147,VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát
148,VPH,Công ty Cổ phần Vạn Phát Hưng
149,VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC
150,VSC,Công ty Cổ phần Container Việt Nam
151,YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái
