,sticker,name
1,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
2,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
3,EIB,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam
4,FPT,Công ty Cổ phần FPT
5,GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần
6,HDB,Ngân hàng TMCP Phát triển TP.Hồ Chí Minh
7,HPG,Công ty Cổ phần Tập đoàn Hòa Phát
8,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền
9,MBB,Ngân hàng Thương mại Cổ phần Quân Đội
10,MSN,Công ty Cổ phần Tập đoàn MaSan
11,MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động
12,NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va
13,PLX,Tập đoàn Xăng dầu Việt Nam
14,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
15,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
16,REE,Công ty Cổ phần Cơ Điện Lạnh
17,ROS,Công ty Cổ phần Xây dựng FLC FAROS
18,SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn
19,SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa
20,SSI,Công ty Cổ phần Chứng khoán SSI
21,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
22,TCB,Ngân hàng TMCP Kỹ Thương Việt Nam
23,TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
24,VCB,Ngân hàng TMCP Ngoại Thương Việt Nam
25,VHM,Công ty Cổ phần Vinhomes
26,VIC,Tập đoàn Vingroup - Công ty Cổ phần
27,VJC,Công ty Cổ phần Hàng không VietJet
28,VNM,Công ty Cổ phần Sữa Việt Nam
29,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
30,VRE,Công ty Cổ phần Vincom Retail
